CAGE	StartT	EndT	Nature	Value
1	1210575600	1210575601	water	0.00001
1	1210582336	1210582351	food_sc	0.02
1	1210583139	1210583187	food_fat	0.02
1	1210583569	1210583607	food_sc	0.02
1	1210583751	1210583842	food_sc	0.04
1	1210584575	1210584586	water	0.02
1	1210584658	1210584713	food_fat	0.04
1	1210584746	1210584759	water	0.04
1	1210585054	1210585098	food_fat	0.04
1	1210585637	1210585700	food_sc	0.02
1	1210585806	1210585830	water	0.04
1	1210586088	1210586120	food_sc	0.02
1	1210587096	1210587216	food_fat	0.14
1	1210587401	1210587460	saccharin	0.14
1	1210587901	1210587964	food_sc	0.02
1	1210588000	1210588041	food_fat	0.06
1	1210588157	1210588226	food_fat	0.06
1	1210588334	1210588371	saccharin	0.1
1	1210588812	1210588901	food_sc	0.02
1	1210589761	1210589869	food_sc	0.04
1	1210589867	1210589967	food_fat	0.08
1	1210590040	1210590118	food_fat	0.06
1	1210590180	1210590251	water	0.18
1	1210590284	1210590332	saccharin	0.08
1	1210590454	1210590475	water	0.02
1	1210590500	1210590551	food_fat	0.02
1	1210594682	1210594789	food_sc	0.06
1	1210594793	1210594900	food_sc	0.04
1	1210595036	1210595134	food_sc	0.06
1	1210595192	1210595234	food_fat	0.02
1	1210595242	1210595332	food_fat	0.04
1	1210595383	1210595407	saccharin	0.06
1	1210595416	1210595431	saccharin	0.02
1	1210595699	1210595732	water	0.06
1	1210595947	1210595972	saccharin	0.06
1	1210597318	1210597362	saccharin	0.18
1	1210599031	1210599308	food_sc	0.1
1	1210599099	1210599111	saccharin	0.04
1	1210599326	1210599354	water	0.06
1	1210599396	1210599471	food_fat	0.08
1	1210599477	1210599522	food_fat	0.02
1	1210599709	1210599723	saccharin	0.02
1	1210600212	1210600260	food_sc	0.02
1	1210600261	1210600368	food_fat	0.02
1	1210600374	1210600390	food_fat	0.02
1	1210600408	1210600600	food_sc	0.0800000000000001
1	1210600891	1210600966	saccharin	0.14
1	1210601006	1210601019	saccharin	0.02
1	1210602496	1210602524	food_sc	0.0399999999999999
1	1210602549	1210602577	food_sc	0.02
1	1210602581	1210602645	food_sc	0.02
1	1210602646	1210602702	saccharin	0.22
1	1210602989	1210603005	saccharin	0.0599999999999999
1	1210604846	1210605061	food_sc	0.08
1	1210605084	1210605224	food_fat	0.2
1	1210605230	1210605305	food_fat	0.0599999999999999
1	1210605344	1210605390	saccharin	0.16
1	1210606152	1210606272	food_fat	0.16
1	1210606279	1210606309	food_fat	0.04
1	1210606446	1210606461	saccharin	0.02
1	1210607203	1210607225	saccharin	0.0600000000000001
1	1210607293	1210607313	saccharin	0.0599999999999999
1	1210607334	1210607344	saccharin	0.02
1	1210607441	1210607456	saccharin	0.02
1	1210607555	1210607571	saccharin	0.02
1	1210607911	1210607927	saccharin	0.0399999999999999
1	1210608408	1210608547	food_sc	0.02
1	1210608555	1210608646	food_fat	0.1
1	1210608679	1210608800	food_fat	0.16
1	1210608831	1210608854	saccharin	0.0600000000000001
1	1210608931	1210608962	saccharin	0.08
1	1210611595	1210611780	food_fat	0.26
1	1210611795	1210611830	food_fat	0.04
1	1210612006	1210612021	food_fat	0.16
1	1210612273	1210612284	saccharin	0.02
1	1210613593	1210613619	saccharin	0.04
1	1210613830	1210613844	saccharin	0.04
1	1210614039	1210614058	saccharin	0.02
1	1210614179	1210614210	saccharin	0.02
1	1210614295	1210614309	saccharin	0.04
1	1210614459	1210614484	saccharin	0.02
1	1210614564	1210614575	saccharin	0.02
1	1210614571	1210614709	food_fat	0.14
1	1210614747	1210614764	saccharin	0.0599999999999998
1	1210614900	1210614910	saccharin	0.02
1	1210615249	1210615299	saccharin	0.0600000000000001
1	1210615503	1210615521	saccharin	0.04
1	1210615628	1210615651	saccharin	0.02
1	1210615794	1210615901	food_fat	0.14
1	1210615920	1210616036	food_fat	0.08
1	1210616180	1210616218	food_fat	0.0800000000000001
1	1210616195	1210616289	food_sc	0.04
1	1210616308	1210616323	saccharin	0.02
1	1210616535	1210616576	saccharin	0.04
1	1210616545	1210616585	saccharin	0.12
1	1210616639	1210616655	saccharin	0.02
1	1210617089	1210617202	food_sc	0.0399999999999999
1	1210617345	1210617378	water	0.02
1	1210617368	1210617438	food_fat	0.0599999999999999
1	1210617467	1210617488	saccharin	0.02
