CAGE	StartT	EndT	Nature	Value
25	1220857200	1220857201	water	0.00001
25	1220872648	1220872676	food_fat	0.04
25	1220873090	1220873105	water	0.02
25	1220873531	1220873545	saccharin	0.18
25	1220874904	1220874928	saccharin	0.02
25	1220875406	1220875418	saccharin	0.1
25	1220876133	1220876172	saccharin	0.02
25	1220878058	1220878069	saccharin	0.06
25	1220879253	1220879291	water	0.02
25	1220879355	1220879412	food_fat	0.08
25	1220881248	1220881260	saccharin	0.1
25	1220881928	1220881997	food_fat	0.08
25	1220882004	1220882072	food_fat	0.04
25	1220882194	1220882266	food_fat	0.04
25	1220882300	1220882321	food_fat	0.02
25	1220883009	1220883022	saccharin	0.0800000000000001
25	1220885126	1220885180	food_fat	0.08
25	1220885244	1220885299	food_fat	0.04
25	1220885366	1220885407	food_fat	0.04
25	1220885440	1220885450	saccharin	0.02
25	1220885723	1220885764	saccharin	0.08
25	1220885757	1220885765	food_fat	0.02
25	1220889303	1220889344	saccharin	0.02
25	1220889358	1220889365	saccharin	0.02
25	1220889392	1220889473	food_fat	0.04
25	1220889483	1220889500	food_fat	0.02
25	1220889512	1220889550	food_fat	0.0399999999999999
25	1220889651	1220889666	food_fat	0.02
25	1220889713	1220889730	saccharin	0.0599999999999999
25	1220892458	1220892507	food_fat	0.04
25	1220892529	1220892630	food_fat	0.14
25	1220892821	1220892837	saccharin	0.1
25	1220896193	1220896261	food_fat	0.0600000000000001
25	1220897623	1220897729	food_fat	0.0999999999999999
25	1220898101	1220898173	food_fat	0.04
25	1220898203	1220898284	food_fat	0.0600000000000001
25	1220898354	1220898374	food_fat	0.02
25	1220898408	1220898444	water	0.02
25	1220900930	1220900961	food_fat	0.0399999999999998
25	1220900970	1220901091	food_fat	0.0600000000000001
25	1220901162	1220901239	food_fat	0.02
25	1220901260	1220901286	water	0.02
25	1220901304	1220901377	food_fat	0.0600000000000001
25	1220901675	1220901710	saccharin	0.1
25	1220901862	1220901893	saccharin	0.02
25	1220903425	1220903439	saccharin	0.04
25	1220903642	1220903701	food_fat	0.02
25	1220904399	1220904422	saccharin	0.04
25	1220904735	1220904765	food_fat	0.02
25	1220904885	1220904988	food_fat	0.0599999999999998
25	1220906414	1220906434	saccharin	0.0600000000000001
25	1220908495	1220908594	food_fat	0.04
25	1220909746	1220909813	food_fat	0.02
25	1220910091	1220910145	saccharin	0.0999999999999999
25	1220910451	1220910502	saccharin	0.02
25	1220910730	1220910753	saccharin	0.04
25	1220910891	1220910961	food_fat	0.04
25	1220911125	1220911158	food_fat	0.02
25	1220911403	1220911464	food_fat	0.02
25	1220911672	1220911694	saccharin	0.04
25	1220912157	1220912180	saccharin	0.02
25	1220912262	1220912382	food_fat	0.02
25	1220912542	1220912558	saccharin	0.02
25	1220912999	1220913043	food_fat	0.02
25	1220913335	1220913352	water	0.02
25	1220913513	1220913539	saccharin	0.0599999999999998
25	1220914050	1220914074	saccharin	0.02
25	1220914295	1220914326	water	0.02
25	1220914587	1220914699	food_fat	0.04
25	1220914704	1220914753	food_fat	0.02
25	1220915169	1220915224	food_fat	0.02
25	1220915377	1220915394	saccharin	0.04
25	1220915442	1220915468	saccharin	0.02
25	1220916272	1220916289	saccharin	0.02
25	1220917837	1220917855	saccharin	0.0600000000000001
25	1220919453	1220919568	food_fat	0.04
25	1220919609	1220919707	food_fat	0.02
25	1220919713	1220919744	water	0.02
25	1220920223	1220920310	food_fat	0.0600000000000001
25	1220920381	1220920405	saccharin	0.0600000000000001
25	1220920504	1220920534	food_fat	0.02
25	1220920618	1220920631	saccharin	0.02
25	1220920708	1220920723	water	0.02
25	1220920837	1220920863	saccharin	0.0799999999999998
25	1220921152	1220921180	saccharin	0.0800000000000001
25	1220921478	1220921507	food_fat	0.02
25	1220921544	1220921671	food_fat	0.04
25	1220921982	1220921999	water	0.02
25	1220922247	1220922263	saccharin	0.02
25	1220925749	1220925790	food_fat	0.02
25	1220926305	1220926346	saccharin	0.0600000000000001
25	1220926351	1220926368	water	0.02
25	1220926518	1220926533	food_fat	0.02
25	1220926760	1220926773	water	0.02
25	1220926781	1220926793	saccharin	0.02
25	1220926899	1220926938	saccharin	0.0600000000000001
25	1220927402	1220927432	saccharin	0.1
25	1220930893	1220930909	saccharin	0.02
25	1220931961	1220932011	food_sc	0.02
25	1220932287	1220932484	food_sc	0.02
